source_name,source_type,is_wire_service,is_major_source,rss_url,status_note
한국경제,경제지,false,true,https://www.hankyung.com/feed/all-news,확인됨-정상응답(요약문 없음 주의)
경향신문,종합일간지,false,true,https://www.khan.co.kr/rss/rssdata/total_news.xml,확인됨-응답함
MBC,방송사,false,true,https://imnews.imbc.com/rss/google_news/narrativeNews.rss,확인됨-응답함(주요뉴스 피드)
뉴시스,통신사,true,true,https://www.newsis.com/RSS/sokbo.xml,미확인-스크립트 검증 필요
뉴스1,통신사,true,true,https://news.google.com/rss/search?q=site:news1.kr&hl=ko&gl=KR&ceid=KR:ko,대체경로-공식RSS 미제공(구글뉴스 경유)
연합뉴스,통신사,true,true,https://news.google.com/rss/search?q=site:yna.co.kr&hl=ko&gl=KR&ceid=KR:ko,대체경로-공식 공개 RSS 없음(구글뉴스 경유)
KBS,방송사,false,true,https://news.google.com/rss/search?q=site:news.kbs.co.kr&hl=ko&gl=KR&ceid=KR:ko,대체경로-공식RSS 404(구글뉴스 경유)
SBS,방송사,false,true,https://news.sbs.co.kr/news/SectionRssFeed.do?sectionId=01&plink=RSSREADER,확인됨-응답함
YTN,방송사,false,true,https://news.google.com/rss/search?q=site:ytn.co.kr&hl=ko&gl=KR&ceid=KR:ko,대체경로-공식RSS 404(구글뉴스 경유)
JTBC,방송사,false,true,https://news.google.com/rss/search?q=site:jtbc.co.kr&hl=ko&gl=KR&ceid=KR:ko,대체경로-종편 추가(구글뉴스 경유)
채널A,방송사,false,false,https://news.google.com/rss/search?q=site:ichannela.com&hl=ko&gl=KR&ceid=KR:ko,대체경로-종편 추가(구글뉴스 경유)
TV조선,방송사,false,false,https://news.google.com/rss/search?q=site:tvchosun.com&hl=ko&gl=KR&ceid=KR:ko,대체경로-종편 추가(구글뉴스 경유)
MBN,방송사,false,false,https://news.google.com/rss/search?q=site:mbn.co.kr&hl=ko&gl=KR&ceid=KR:ko,대체경로-종편 추가(구글뉴스 경유)
조선일보,종합일간지,false,true,https://www.chosun.com/arc/outboundfeeds/rss/?outputType=xml,확인됨-응답함
동아일보,종합일간지,false,true,https://rss.donga.com/total.xml,확인됨-응답함
중앙일보,종합일간지,false,true,https://news.google.com/rss/search?q=site:joongang.co.kr&hl=ko&gl=KR&ceid=KR:ko,대체경로-구도메인 빈피드(구글뉴스 경유)
한겨레,종합일간지,false,true,https://www.hani.co.kr/rss/,확인됨-응답하나 필수필드 누락 이력
한국일보,종합일간지,false,true,https://news.google.com/rss/search?q=site:hankookilbo.com&hl=ko&gl=KR&ceid=KR:ko,대체경로-직접접속 SSL오류(구글뉴스 경유)
국민일보,종합일간지,false,true,https://news.google.com/rss/search?q=site:kmib.co.kr&hl=ko&gl=KR&ceid=KR:ko,대체경로-직접접속 실패(구글뉴스 경유)
서울신문,종합일간지,false,true,https://www.seoul.co.kr/xml/rss/rss_politics.xml,신규후보-전체피드 없어 정치섹션 대체
세계일보,종합일간지,false,false,http://www.segye.com/Articles/RSSList/segye_recent.xml,확인됨-응답하나 필수필드 누락 이력
매일경제,경제지,false,true,https://www.mk.co.kr/rss/30000001/,확인됨-응답함
서울경제,경제지,false,true,https://news.google.com/rss/search?q=site:sedaily.com&hl=ko&gl=KR&ceid=KR:ko,대체경로-원피드 빈피드(구글뉴스 경유)
머니투데이,경제지,false,true,https://rss.mt.co.kr/mt_news.xml,확인됨-응답함
이데일리,경제지,false,true,https://news.google.com/rss/search?q=site:edaily.co.kr&hl=ko&gl=KR&ceid=KR:ko,대체경로-직접접속 실패(구글뉴스 경유)
헤럴드경제,경제지,false,false,https://news.google.com/rss/search?q=site:heraldcorp.com&hl=ko&gl=KR&ceid=KR:ko,대체경로-원피드 빈피드(구글뉴스 경유)
파이낸셜뉴스,경제지,false,false,https://news.google.com/rss/search?q=site:fnnews.com&hl=ko&gl=KR&ceid=KR:ko,대체경로-공식RSS 404(구글뉴스 경유)
노컷뉴스,인터넷,false,false,https://rss.nocutnews.co.kr/nocutnews.xml,확인됨-응답함
오마이뉴스,인터넷,false,false,http://rss.ohmynews.com/rss/ohmynews.xml,확인됨-응답함
프레시안,인터넷,false,false,https://www.pressian.com/api/v3/site/rss/news,확인됨-응답함
전자신문,IT산업,false,false,http://rss.etnews.com/Section901.xml,확인됨-응답함
ZDNet코리아,IT산업,false,false,https://feeds.feedburner.com/zdkorea,확인됨-응답함
